"customer_id","customer_name","segment","country","city","state","region"
"Customer ID","Customer Name","Segment","Country","City","State","Region"
"CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky","South"
"DV-13045","Darrin Van Huff","Corporate","United States","Los Angeles","California","West"
"SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","South"
"BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California","West"
"AA-10480","Andrew Allen","Consumer","United States","Concord","North Carolina","South"
"IM-15070","Irene Maddox","Consumer","United States","Seattle","Washington","West"
"HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas","Central"
"PK-19075","Pete Kriz","Consumer","United States","Madison","Wisconsin","Central"
"AG-10270","Alejandro Grove","Consumer","United States","West Jordan","Utah","West"
"ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California","West"
"KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska","Central"
"SF-20065","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania","East"
"EB-13870","Emily Burns","Consumer","United States","Orem","Utah","West"
"EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California","West"
"TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania","East"
"MA-17560","Matt Abelman","Home Office","United States","Houston","Texas","Central"
"GH-14485","Gene Hale","Corporate","United States","Richardson","Texas","Central"
"SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas","Central"
"LC-16930","Linda Cazamias","Corporate","United States","Naperville","Illinois","Central"
"RA-19885","Ruben Ausman","Corporate","United States","Los Angeles","California","West"
"ES-14080","Erin Smith","Corporate","United States","Melbourne","Florida","South"
"ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota","Central"
"PO-18865","Patrick O'Donnell","Consumer","United States","Westland","Michigan","Central"
"LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware","East"
"DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana","Central"
"JM-15265","Janet Molinari","Corporate","United States","New York City","New York","East"
